,,,,,,,,,,,,,,,,,,,,,,
STT,DATE,TITLE,LINK SẢN PHẨM FACEBOOK,DOANH THU,LINK SẢN PHẨM YOUTUBE,DOANH THU,STATUS,,,,,,,,,,,,,,,
THÁNG 1/2023,,,,,,,,,,,,,,,,,,,,,,
36,7/1,Yêu là miễn người đó hạnh phúc,"https://www.facebook.com/ThieuNienNoi,vn/videos/578080207705609",0.57,,,,,,,,,,,,,,,,,,
37,7/1,Dùng kết quả để chứng minh,"https://www.facebook.com/ThieuNienNoi,vn/videos/1529413820891986",0,,,,,,,,,,,,,,,,,,
38,7/1,"Cô đã dùng tình cảm để thay đổi những học trò nổi loạn như con
","https://www.facebook.com/ThieuNienNoi,vn/videos/557438232932867",0.26,,,,,,,,,,,,,,,,,,
39,7/1,Bài hát con gửi tới mẹ,"https://www.facebook.com/ThieuNienNoi,vn/videos/538781124878853",0.34,,,,,,,,,,,,,,,,,,
40,8/1,Chỉ vì khác mọi người mà bị các bạn bắt nạt,"https://www.facebook.com/ThieuNienNoi,vn/videos/833400394626334",0.07,,,,,,,,,,,,,,,,,,
41,8/1,Chỉ vì khác mọi người mà bị các bạn bắt nạt,"https://www.facebook.com/ThieuNienNoi,vn/videos/759647491700610",0.07,,,,,,,,,,,,,,,,,,
42,8/1,Nói dối chỉ vì sợ bố mẹ biết mình học không giỏi,"https://www.facebook.com/ThieuNienNoi,vn/videos/5938520679524770",0.03,,,,,,,,,,,,,,,,,,
43,10/1,"Bố mẹ chia tay, con gái nổi loạn để nhận được sự quan tâm","https://www.facebook.com/ThieuNienNoi,vn/videos/572030374335029",0,,,,,,,,,,,,,,,,,,
44,10/1,"Gia đình gặp sự cố phải chuyển nhà gấp mà không báo được với cô bạn thân, nam học sinh lên sóng truyền hình xin lỗi và mong bạn tha thứ","https://www.facebook.com/ThieuNienNoi,vn/videos/1298264494348712",0.17,,,,,,,,,,,,,,,,,,
45,10/1,"Tưởng ăn bữa cơm gia đình cùng nhau là điều đơn giản, nhưng thật khó đối với gia đình của em","https://www.facebook.com/ThieuNienNoi,vn/videos/918505109516668",0.16,,,,,,,,,,,,,,,,,,
46,10/1,Nghe mà nổi hết cả da gà,"https://www.facebook.com/ThieuNienNoi,vn/videos/848821276339849",6.58,,,,,,,,,,,,,,,,,,
47,10/1,"Thương mẹ, vẫn luôn lầm lũi một mình","https://www.facebook.com/ThieuNienNoi,vn/videos/856679405426270",0.36,,,,,,,,,,,,,,,,,,
48,16/1,Umeee giọng hát của TIA quá,"https://www.facebook.com/ThieuNienNoi,vn/videos/3416871161934495",0.02,,,,,,,,,,,,,,,,,,
49,16/1,Giọng hát ma mị của Chu Thúy Quỳnh chinh phục khán giả,"https://www.facebook.com/ThieuNienNoi,vn/videos/3320891941573271",3.91,,,,,,,,,,,,,,,,,,
50,17/1,Gil Lê vừa đẹp vừa chịu chơi thế này,"https://www.facebook.com/ThieuNienNoi,vn/videos/585561843390643",0.06,,,,,,,,,,,,,,,,,,
51,17/1,Nghe là thấy tết rồi,"https://www.facebook.com/ThieuNienNoi,vn/videos/5770026743092290",0.16,,,,,,,,,,,,,,,,,,
52,18/1,Dù bạn ở đâu thì cũng về nhà thôi,"https://www.facebook.com/ThieuNienNoi,vn/videos/726500012398445",0,,,,,,,,,,,,,,,,,,
53,18/1,Chuyến tàu chia cắt 2 ta,"https://www.facebook.com/ThieuNienNoi,vn/videos/1206183640302935",0.99,,,,,,,,,,,,,,,,,,
54,19/1,Mỗi lần Vũ Thảo My lên nốt cao nghe quá đã,"https://www.facebook.com/ThieuNienNoi,vn/videos/735586547740799",0.08,,,,,,,,,,,,,,,,,,
55,19/1,Do anh nghèo nên e bỏ anh đi,"https://www.facebook.com/ThieuNienNoi,vn/videos/1334726177315483",1.21,,,,,,,,,,,,,,,,,,
56,20/1,Queen đã thao túng tâm lý chúng ta,"https://www.facebook.com/ThieuNienNoi,vn/videos/3253361821643289",0.03,,,,,,,,,,,,,,,,,,
57,21/1,Giọng của ba chị quá đỉnh,"https://www.facebook.com/ThieuNienNoi,vn/videos/1318742748695506",0.16,,,,,,,,,,,,,,,,,,
58,22/1,Cuộc tình trắc trở của hai ta,"https://www.facebook.com/ThieuNienNoi,vn/videos/676006377648169",0.19,,,,,,,,,,,,,,,,,,
59,23/1,Nghe lại thấy nhớ bà và mẹ,"https://www.facebook.com/ThieuNienNoi,vn/videos/729535271907113",0.11,,,,,,,,,,,,,,,,,,
60,24/1,Hải Đăng Doo rất nỗ lực để khẳng định mình,"https://www.facebook.com/ThieuNienNoi,vn/videos/866041617998694",0,,,,,,,,,,,,,,,,,,
61,,Khóc để quên đi nỗi buồn,"https://www.facebook.com/ThieuNienNoi,vn/videos/733901907949622",9.03,,,,,,,,,,,,,,,,,,
62,,Ba mẹ em khó nên anh không dám vào,"https://www.facebook.com/ThieuNienNoi,vn/videos/476977677977358",2,,,,,,,,,,,,,,,,,,
63,,Nghe tin như sét đánh ngang tai,"https://www.facebook.com/ThieuNienNoi,vn/videos/1568801813622142",0.07,,,,,,,,,,,,,,,,,,
64,,Về nhà thôi con,"https://www.facebook.com/ThieuNienNoi,vn/videos/6242973382381909",0.22,,,,,,,,,,,,,,,,,,
65,,Trai tài gái sắc,"https://www.facebook.com/ThieuNienNoi,vn/videos/2036226479905807",0,,,,,,,,,,,,,,,,,,
66,,Nghe đồn bài này đang HÓT HÍT mấy ngày nay,"https://www.facebook.com/TheHeroes,viva/videos/669135051662475",0.01,"https://www,youtube,com/watch?v=3_Co7lzKaGU",19.85,,,,,,,,,,,,,,,,
67,,Khoa thì TRI ÂN còn K thì làm hành động khiến Khoa thấy ÂN HẬN …,"https://www.facebook.com/TheHeroes,viva/videos/947276173119541",1.9,,,,,,,,,,,,,,,,,,
68,,Chu Thúy Quỳnh chơi lớn cỡ nào mà khiến BGK phải trầm trồ đến vậy nhỉ? …,"https://www.facebook.com/TheHeroes,viva/videos/1544401426079288",3.29,"https://www,youtube,com/watch?v=mXk0cjGoSWQ",1,,,,,,,,,,,,,,,,
69,,"Ad thì thấy cả hai bài đều xuất sắc, còn mọi người thì sao??…","https://www.facebook.com/TheHeroes,viva/videos/724104652254751",0.13,,,,,,,,,,,,,,,,,,
70,,Cô thiên nga xinh đẹp kể chuyện tình đầy trắc trở,"https://www.facebook.com/TheHeroes,viva/videos/1966065823568381",0.2,"https://www,youtube,com/watch?v=eaDa-EIi_vc",15.14,,,,,,,,,,,,,,,,
71,,Xuất sắc quá 2 anh đẹp trai ơiiii,"https://www.facebook.com/TheHeroes,viva/videos/1108177169850500",16.33,"https://www,youtube,com/watch?v=FnxetGErmkE",3.51,,,,,,,,,,,,,,,,
72,,"Nhìn Body của Hải Đăng Doo mà ""phái phái phái"" nha!!!…","https://www.facebook.com/TheHeroes,viva/videos/1192265285040734",45.77,"https://www,youtube,com/watch?v=5-0qQo40sdM",1.74,,,,,,,,,,,,,,,,
73,,"Hot Tiktoker triệu views trải lòng về thành công quá sớm,","https://www.facebook.com/TheHeroes,viva/videos/395459166120441",2.3,"https://www,youtube,com/watch?v=1u1RACZlP1E",1.25,,,,,,,,,,,,,,,,
74,,Các bạn có đồng ý với nhận xét của Ban Giám Khảo dành cho TIA?,"https://www.facebook.com/TheHeroes,viva/videos/1217762752159064",0.18,"https://www,youtube,com/watch?v=eDfNOshZQcA",0.99,,,,,,,,,,,,,,,,
75,,"Nằm nghe sóng vỗ từng ""love Gil""","https://www.facebook.com/TheHeroes,viva/videos/2150403515163006",76.05,"https://www,youtube,com/watch?v=11r-6Hx2huc",41.67,,,,,,,,,,,,,,,,
76,,"Giàu như Gil mà còn không còn tiền ăn tết, thì ad tết này sẽ như thế nào nhỉ?","https://www.facebook.com/TheHeroes,viva/videos/521091813422725",3.13,,,,,,,,,,,,,,,,,,
77,,Bài hit như thế này mà vẫn bị chê không có đổi mới,"https://www.facebook.com/TheHeroes,viva/videos/9278924388799911",0.11,"https://www,youtube,com/watch?v=RPTmk4qF85M",1.01,,,,,,,,,,,,,,,,
78,,Mỗi lần nghe bài này là lại thấy tết về,"https://www.facebook.com/TheHeroes,viva/videos/728250508913245",0.74,"https://www,youtube,com/watch?v=fWFbVuwKeMI",4.74,,,,,,,,,,,,,,,,
79,,Phiên bản rap không có K sẽ như thế nào?,"https://www.facebook.com/TheHeroes,viva/videos/736999398094298",10.37,,,,,,,,,,,,,,,,,,
80,,Gil Lê ngày càng lợi hại hơn qua từng phần thi,"https://www.facebook.com/TheHeroes,viva/videos/1332012087638238",11.5,"https://www,youtube,com/watch?v=DNasxTwfR4A",3.22,,,,,,,,,,,,,,,,
81,,"Đi xa phải nhớ là về, để thôi ba má đợi mong,,,","https://www.facebook.com/TheHeroes,viva/videos/2305337106292371",0.4,,,,,,,,,,,,,,,,,,
82,,QUEEN đã thao túng tâm lý mọi người qua từng tập như thế nào?…,"https://www.facebook.com/TheHeroes,viva/videos/717966709676973",1.28,,,,,,,,,,,,,,,,,,
83,,Top những bản hit trong thời gian qua của The Heroes 2022,"https://www.facebook.com/TheHeroes,viva/videos/698862001789152",79.49,,,,,,,,,,,,,,,,,,
84,,U mê các bài hát của TIA thiệt ấy chứ!!!,"https://www.facebook.com/TheHeroes,viva/videos/2197305670468575",0.88,,,,,,,,,,,,,,,,,,
85,,Rồi mọi người sẽ công nhận sự nỗ lực của hải Đăng Doo,"https://www.facebook.com/TheHeroes,viva/videos/1828031200896963",0,,,,,,,,,,,,,,,,,,
86,,Đúng là team có điều kiện đi thi có khác,"https://www.facebook.com/TheHeroes,viva/videos/725238778925165",45.77,,,,,,,,,,,,,,,,,,
87,,"Nghe lần nào cũng muốn khóc,,,","https://www.facebook.com/TheHeroes,viva/videos/1321059878467889",0.75,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
